ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Cultures & Religions, School of Languages","","","",1,1,"DoBeS archive : Chipaya project |1|"
"DFG Collaborative Research Centre 991, University of Duesseldorf","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"DFG-Projekt: Literaturexplosion und Intertextualität. Bedingungen und Merkmale der 'Verschriftlichung des Lebens' in Nürnberg","","","",1,1,"Deutsches Textarchiv (1600–1900) |1|"
"DFKI","","","",3,1,"Tübingen Language Resources |3|"
"DTU","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Daguragu Community Government Council","","","",2,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |2|"
"Danfoss","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Danmarks JordbrugsForskning","","","",5,1,"CLARIN-DK-UCPH Repository |5|"
"Danmarks Miljøundersøgelser","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"DePaul University","","","",1,1,"COST elicitationdata |1|"
"Delingua","","","",1,0,""
"Department of Circuit Theory, Czech Technical University in Prague, Faculty of Electrical Engineering","","","",1,1,"LRT + Open Submissions Data & Tools |1|"
"Department of Cybernetics, University of West Bohemia","","","",7,1,"LINDAT / CLARIN Data & Tools |7|"
"Department of Informatics, University of Oslo","","","",1,1,"CLARINO Bergen Centre |1|"
"Department of Infrastructure, Planning, and Environment, Northern Territory Government","","","",45,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |45|"
"Department of Language and Communication Science, City University (London)","","","",1,1,"ECHO |1|"
"Department of Languages and Literatures, University of Gothenburg","","","",1,1,"Språkbanken |1|"
"Department of Linguistics and Scandinavian Studies, University of Oslo","","","",3,1,"Clarino - Textlab |3|"
"Department of Linguistics, Max Planck Institute for Evolutionary Anthropology","","","",1040,1,"DoBeS archive : Taa |1040|"
"Department of Linguistics, Radboud University, Nijmegen","","","",1,1,"CollBank |1|"
"Department of Linguistics, University Of Khartoum","","","",32,1,"DoBeS archive : Tima |32|"
"Department of Linguistics, University of Cologne","","","",522,1,"DoBeS archive : Movima |522|"
"Department of Linguistics, University of Nijmegen","","","",9,2,"ECHO |2| # Sign Language : ECHO - Sign Language |7|"
"Department of Linguistics, University of Victoria","","","",143,1,"DoBeS archive : Lacandon Cultural Heritage |143|"
"Department of Neurology","","","",112,1,"MPI corpora : Language and Cognition : Gesture Projects : Lausberg |112|"
"Department of Neurology, Freie Universität Berlin","","","",113,1,"MPI corpora : Language and Cognition : Gesture Projects : Lausberg |112|"
"Department. of Linguistics, Tribhuvan University, Kirtipur, Kathmandu","","","",28,1,"DoBeS archive : Chintang and Puma Documentation Project |28|"
"Dept. of Linguistics, Radboud University, Nijmegen","","","",20,1,"CLARIN NL : leslla |20|"
"Destino Colección Áncora y Delfín","","","",1,1,"CLARINO Bergen Centre |1|"
"Det Økologiske Råd","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Deutsche Forschungsgemeinschaft","","","",1,1,"Dingler Online |1|"
"Deutsche Telekom Laboratories","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Deutsche Telekom, Bonn, Germany","","","",1,1,"Bavarian Archive for Speech Signals (BAS) |1|"
"Deutscher Wortschatz, Leipzig University","","","",1,0,""
"Deutsches Spracharchiv","","","",52,2,"AGD |51| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |1|"
"Deutsches Spracharchiv et al.","","","",4,3,"AGD |2| # Archiv für Gesprochenes Deutsch |1| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |1|"
"Deutsches Textarchiv","","","",111,2,"Deutsches Textarchiv (1600–1900) |3| # Referenzkorpus Mittelhochdeutsch (1050–1350) |108|"
"Deutsches Textarchiv (Dingler)","","","",1,1,"Dingler Online |1|"
"Developing national standards for the assessment of writing – a tool for teaching and learning (Normprosjektet, 2012–2016)","","","",1,1,"Clarino - Textlab |1|"
"Developing national standards for the assessment of writing – a tool for teaching and learning (The NORM Project, 2012–2016)","","","",1,1,"Clarino - Textlab |1|"
"Dhankuta Multiple Campus College","","","",12,1,"DoBeS archive : Chintang and Puma Documentation Project |12|"
"Digitales Wörterbuch der deutschen Sprache (DWDS)","","","",6,3,"DWB-Erstausgabe |1| # DWB-Erstausgabe (Stichwortliste) |1| # Digitales Wörterbuch der deutschen Sprache (DWDS) |4|"
"Dinamo forlag Lysaker","","","",1,1,"CLARINO Bergen Centre |1|"
"Dinamo forlag, Lysaker","","","",1,1,"CLARINO Bergen Centre |1|"
"Dingler Online - Das digitalisierte Polytechnische Journal","","","",1,1,"Dingler Online |1|"
"Diwurruwurru-Jaru Aboriginal Corporation","","","",28,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |28|"
"Diwurruwurru-jaru Aboriginal Corporation","","","",21,1,"DoBeS archive : Jaminjungan and Eastern Ngumpin |21|"
"DoBeS Archive, Max Planck Institute for Psycholinguistics, Nijmegen, The Netherlands","","","",5,1,"DoBeS archive : Kurumba |5|"
"DoBeS Kwilu","","","",2,1,"DoBeS archive : Nsambaan, Nsong and Ngong |2|"
"DoBeS-Team Totoli","","","",282,1,"DoBeS archive : Totoli |282|"
"Documentatie- en Onderzoekscentrum van het Nederlandse Lied (DOC Lied)","","","",1,1,"CollBank |1|"
"Dong","","","",4,1,"CLARIN-DK-UCPH Repository |4|"
"Dutch HLT Agency (TST-Centrale)","","","",1,1,"CollBank |1|"
"Dutch Language Institute","","","",35,1,"INT |35|"
"Dutch Language Institute (Instituut voor de Nederlandse Lexicologie Taal, INT)","","","",1,1,"INT |1|"
"Dutch Language Institute (Instituut voor de Nederlandse Lexicologie Taal, INT), Language Database Department (Taalbank Nederlands)","","","",2,1,"INT |2|"
"Dutch Language Institute (Instituut voor de Nederlandse Taal, INT)","","","",3,1,"INT |3|"
"Dutch Language Institute (Instituut voor de Nederlandse Taal, INT), Description and Production (Descriptie en Productie)","","","",1,1,"INT |1|"
"Dutch Language Institute (Instituut voor de Nederlandse Taal, INT), Description and Production Department (Afdeling Descriptie en Productie)","","","",1,1,"INT |1|"
"Dutch Language Institute (Instituut voor de Nederlandse Taal, INT), Language Database Department (Taalbank Nederlands)","","","",2,1,"INT |2|"
"Dutch Language Union","","","",2,1,"INT |2|"
"Dutch Sign Centre","","","",1,1,"Sign Language : Sign Language Lexica |1|"
"ELIS, Rijks Universiteit Gent","","","",2,1,"CollBank |2|"
"ELIS-UG","","","",3842,1,"MPI CGN |3842|"
